,P1_WUE,P1_Decoupling_Stress,P1_Thermal_Efficiency,P1_Hydrothermal_Balance,P2_WUE,P2_Decoupling_Stress,P2_Thermal_Efficiency,P2_Hydrothermal_Balance,P3_WUE,P3_Decoupling_Stress,P3_Thermal_Efficiency,P3_Hydrothermal_Balance,P4_WUE,P4_Decoupling_Stress,P4_Thermal_Efficiency,P4_Hydrothermal_Balance,P1_Drought_Vulnerability,P1_Fertility_Vigor,P2_Drought_Vulnerability,P2_Fertility_Vigor,P3_Drought_Vulnerability,P3_Fertility_Vigor,P4_Drought_Vulnerability,P4_Fertility_Vigor,Cum_PPT_P1,Cum_PPT_P2,Cum_PPT_P3,Cum_PPT_P4,Cum_FDD_P1,Cum_FDD_P2,Cum_FDD_P3,Cum_FDD_P4,Cum_VPD_P1,Cum_VPD_P2,Cum_VPD_P3,Cum_VPD_P4,Delta_NDVI_P2,Delta_NDWI_P2,Delta_SM_P2,Delta_NDVI_P3,Delta_NDWI_P3,Delta_SM_P3,Delta_NDVI_P4,Delta_NDWI_P4,Delta_SM_P4,Sand,Clay,SOC,P1_Tmean,P1_PPT,P1_SM,P1_GDD,P1_FDD,P1_VPD,P1_VPD_max,P1_NDVI,P1_NDVI_max,P1_NDWI,P1_NIRv,P1_EVI,P1_EVI_max,P2_Tmean,P2_PPT,P2_SM,P2_GDD,P2_FDD,P2_VPD,P2_VPD_max,P2_NDVI,P2_NDVI_max,P2_NDWI,P2_NIRv,P2_EVI,P2_EVI_max,P3_Tmean,P3_PPT,P3_SM,P3_GDD,P3_FDD,P3_VPD,P3_VPD_max,P3_NDVI,P3_NDVI_max,P3_NDWI,P3_NIRv,P3_EVI,P3_EVI_max,P4_Tmean,P4_PPT,P4_SM,P4_GDD,P4_FDD,P4_VPD,P4_VPD_max,P4_NDVI,P4_NDVI_max,P4_NDWI,P4_NIRv,P4_EVI,P4_EVI_max
P1_WUE,1.0,0.3219,0.5945,-0.3241,0.1001,0.2108,0.1189,0.1534,-0.0748,0.24,-0.144,-0.2152,0.0378,0.1756,0.0824,-0.0767,0.3167,0.3321,0.1801,-0.152,0.2462,-0.284,0.1865,-0.2377,-0.3334,-0.2837,-0.3424,-0.3419,0.0619,0.1916,0.1923,0.1923,0.2858,0.2624,0.2683,0.2273,-0.4571,-0.4581,0.1952,-0.2477,-0.1775,0.0427,0.1538,0.1143,0.087,0.1691,-0.208,-0.184,0.0506,-0.3334,-0.4224,-0.0441,0.0619,0.2858,0.138,0.7379,0.6987,0.5554,0.8581,0.1244,0.0846,-0.1912,-0.1518,-0.2992,-0.1154,0.1916,0.0655,0.0529,-0.0521,0.0055,-0.1826,-0.012,-0.1393,-0.1511,-0.0351,-0.2319,-0.2761,-0.0709,0.1403,0.2247,0.1873,-0.2341,-0.1425,-0.2641,-0.2,-0.1947,-0.1968,-0.1534,-0.1101,-0.1981,-0.3289,0.0748,0.1317,0.1537,-0.1353,-0.1078,-0.2221,-0.0801,-0.2636,-0.2715
P1_Decoupling_Stress,0.3219,1.0,-0.2439,-0.53,0.3133,0.5385,0.2519,0.0799,0.3953,0.674,-0.1465,-0.6479,0.4186,0.5804,0.167,-0.5206,0.8235,-0.5043,0.3958,-0.3788,0.6249,-0.415,0.5031,-0.5044,-0.4916,-0.5235,-0.7001,-0.7715,-0.0146,0.2665,0.2636,0.2635,0.8953,0.8639,0.8671,0.7472,0.1676,0.1268,0.5068,0.051,0.1454,-0.1585,-0.0275,-0.041,0.0667,0.2127,-0.3181,-0.5506,0.3321,-0.4916,-0.9112,0.298,-0.0146,0.8953,0.8747,-0.2407,-0.0806,-0.2908,-0.1234,-0.2923,-0.3898,-0.2851,-0.3763,-0.6494,-0.1777,0.2667,0.3097,0.2892,0.024,0.123,-0.0929,0.1042,-0.0268,-0.0292,0.4834,-0.5492,-0.7005,0.4675,0.0107,0.7097,0.6043,0.055,0.1848,0.033,0.1275,0.0454,0.1254,0.2182,-0.5238,-0.611,-0.2254,0.0474,0.4835,0.5264,0.059,0.0972,-0.0308,0.1443,-0.1653,-0.1977
P1_Thermal_Efficiency,0.5945,-0.2439,1.0,-0.0567,-0.1068,-0.1542,-0.0748,0.0908,-0.2812,-0.2082,0.1373,0.174,-0.2212,-0.2042,0.0227,0.2401,-0.1648,0.643,-0.1062,0.1587,-0.152,0.0693,-0.1322,0.1575,-0.0924,0.0523,0.0678,0.1132,0.1244,-0.0083,-0.0051,-0.0051,-0.2063,-0.2225,-0.2427,-0.207,-0.4855,-0.4912,-0.06,-0.2144,-0.1935,0.1587,0.1108,0.0678,0.0186,0.0585,0.0058,0.2387,-0.1663,-0.0924,0.1269,-0.4714,0.1244,-0.2063,-0.3339,0.7813,0.8714,0.657,0.7436,0.3482,0.3674,0.0392,0.161,0.1448,0.0828,-0.0085,-0.1792,-0.1448,-0.0432,-0.0117,-0.1232,-0.0759,-0.1526,-0.1567,-0.3995,0.0603,0.1974,-0.5146,0.1926,-0.2167,-0.2115,-0.2041,-0.1708,-0.2317,-0.2362,-0.3433,-0.4036,-0.3458,0.1889,0.1958,-0.152,0.1077,-0.1725,-0.1942,-0.1512,-0.1211,-0.2111,-0.1534,-0.2745,-0.2446
P1_Hydrothermal_Balance,-0.3241,-0.53,-0.0567,1.0,-0.2107,-0.3615,0.0138,-0.0101,-0.2475,-0.2134,-0.1486,0.1307,-0.209,-0.1732,-0.2326,0.1074,-0.5565,0.2809,-0.2109,0.2523,-0.1844,0.1734,-0.1365,0.2792,0.989,0.7078,0.6041,0.5688,-0.0051,-0.2358,-0.234,-0.234,-0.7023,-0.6784,-0.4886,-0.3248,-0.0553,-0.0759,-0.4615,-0.2163,-0.2073,-0.4373,0.137,0.1198,0.076,-0.0608,0.0951,0.3028,-0.3012,0.989,0.6989,-0.0564,-0.0051,-0.7023,-0.2414,0.1356,-0.1036,0.1894,0.0255,0.107,0.1585,0.0803,0.2038,0.4216,-0.0853,-0.236,-0.2592,-0.2097,0.0323,-0.1086,0.079,-0.0561,0.0622,-0.0219,-0.178,0.076,0.1672,-0.0746,-0.0288,-0.2027,-0.2278,-0.1445,-0.2589,-0.0893,-0.185,-0.059,-0.0321,0.212,0.1517,0.1702,0.2718,-0.0476,-0.1079,-0.1723,-0.0523,-0.1109,0.0196,-0.1676,0.0562,0.0619
P2_WUE,0.1001,0.3133,-0.1068,-0.2107,1.0,0.2314,0.506,-0.2361,0.7234,0.2415,0.3673,-0.2077,0.4524,0.2427,0.3887,-0.1708,0.2918,-0.258,0.1871,0.3713,0.2052,0.144,0.2013,-0.0759,-0.1915,-0.2279,-0.2264,-0.2411,-0.0633,-0.1355,-0.1363,-0.1363,0.3246,0.3394,0.3139,0.295,0.7472,0.5779,0.1027,-0.1073,0.1742,0.0244,-0.3444,-0.3686,0.0386,0.0228,-0.0977,-0.2787,0.1978,-0.1915,-0.308,0.3386,-0.0633,0.3246,0.2711,-0.1321,0.0752,-0.1461,-0.047,-0.0159,-0.0199,0.1074,-0.1856,-0.2812,0.0808,-0.1355,0.2055,0.125,0.8583,0.854,0.6453,0.931,0.3886,0.3604,0.2504,-0.1293,-0.2404,0.2977,-0.1362,0.2311,0.2231,0.6097,0.6199,0.6071,0.6507,0.2852,0.2626,0.1158,-0.1573,-0.1969,-0.0821,-0.0562,0.2157,0.2692,0.4076,0.4345,0.3586,0.4424,0.1558,0.1357
P2_Decoupling_Stress,0.2108,0.5385,-0.1542,-0.3615,0.2314,1.0,0.2961,0.1103,0.2911,0.7589,-0.3059,-0.4504,0.2591,0.5685,0.0862,-0.3146,0.6427,-0.3841,0.7795,-0.4581,0.7157,-0.4252,0.6201,-0.4837,-0.364,-0.7117,-0.7274,-0.7161,0.0161,0.588,0.5855,0.5855,0.4807,0.6239,0.7382,0.6976,-0.0348,-0.075,-0.2855,0.096,0.1735,0.2153,-0.0031,-0.0274,0.1761,0.3893,-0.4964,-0.483,0.0104,-0.364,-0.4931,0.0676,0.0161,0.4807,0.4884,-0.1142,-0.0471,-0.0868,-0.0423,-0.127,-0.1913,-0.5425,-0.7442,-0.8754,-0.3455,0.5881,0.8201,0.8578,-0.1474,-0.0318,-0.2091,-0.0605,-0.3057,-0.3215,0.4724,-0.342,-0.6975,0.4214,0.0686,0.7149,0.7582,-0.0437,0.0282,-0.0338,0.0177,-0.1417,-0.1065,0.3031,-0.2802,-0.5225,-0.2932,0.0557,0.5476,0.581,-0.057,-0.0645,-0.1027,-0.0091,-0.2808,-0.3175
P2_Thermal_Efficiency,0.1189,0.2519,-0.0748,0.0138,0.506,0.2961,1.0,0.3812,0.3261,0.4474,0.0905,-0.2893,0.3187,0.3037,0.2962,-0.2058,0.2825,-0.2776,0.3231,-0.0122,0.4413,-0.198,0.3444,-0.2279,-0.0389,-0.3443,-0.4228,-0.4336,0.006,0.4193,0.4177,0.4177,0.1136,0.1265,0.3114,0.3174,0.3119,0.2082,-0.1228,-0.1961,-0.0377,-0.0475,0.0688,0.0761,0.1742,0.2438,-0.3744,-0.3494,-0.3935,-0.0389,-0.2663,-0.0032,0.006,0.1136,0.1853,-0.0668,-0.0079,-0.1049,-0.0246,-0.1195,-0.1769,-0.6002,-0.5,-0.4568,-0.7217,0.4194,0.1385,0.0318,0.343,0.426,0.1675,0.378,-0.2079,-0.2744,-0.0434,-0.3098,-0.4633,0.0988,0.1455,0.4224,0.4,0.13,0.1976,0.0985,0.1594,-0.2197,-0.156,0.019,-0.2107,-0.3004,-0.2271,-0.0111,0.2553,0.291,0.2221,0.2209,0.1503,0.2363,-0.1527,-0.1675
P2_Hydrothermal_Balance,0.1534,0.0799,0.0908,-0.0101,-0.2361,0.1103,0.3812,1.0,-0.1671,0.385,-0.2447,-0.1918,0.0464,0.3029,0.0004,-0.2539,0.1688,-0.0521,0.1157,-0.361,0.364,-0.3209,0.3374,-0.1956,-0.0501,-0.0417,-0.1592,-0.2276,0.1244,0.6064,0.6066,0.6066,0.0159,-0.0418,0.1723,0.2577,-0.3286,-0.2293,-0.1571,-0.0826,-0.2564,-0.1602,0.2849,0.3018,-0.0148,0.2682,-0.2992,-0.1297,-0.2954,-0.0501,-0.1253,-0.2689,0.1244,0.0159,-0.0003,0.0719,0.0157,0.0672,0.0802,-0.0677,-0.1107,-0.7184,-0.0547,-0.2602,-0.624,0.6065,-0.1698,-0.0984,-0.3754,-0.2907,-0.2738,-0.3539,-0.675,-0.682,-0.0851,-0.2444,-0.3821,-0.0834,0.2317,0.3576,0.3616,-0.3451,-0.291,-0.38,-0.3361,-0.5051,-0.4607,0.054,-0.2711,-0.3326,-0.1689,0.1299,0.2948,0.2628,-0.1339,-0.1517,-0.1936,-0.1364,-0.4005,-0.4105
P3_WUE,-0.0748,0.3953,-0.2812,-0.2475,0.7234,0.2911,0.3261,-0.1671,1.0,0.3369,0.4743,-0.2641,0.6328,0.3552,0.4811,-0.3127,0.3547,-0.4057,0.1876,0.161,0.2689,0.2631,0.2743,-0.0423,-0.2046,-0.2069,-0.2236,-0.2684,-0.0841,-0.0503,-0.0529,-0.0529,0.4367,0.4469,0.4282,0.416,0.6629,0.5875,0.1421,0.4833,0.5926,-0.0733,-0.514,-0.4608,-0.0885,-0.0112,-0.0658,-0.3075,0.3434,-0.2046,-0.3265,0.4073,-0.0841,0.4367,0.4028,-0.3427,-0.0939,-0.3191,-0.2591,-0.1067,-0.1078,0.0567,-0.1373,-0.282,0.1023,-0.0502,0.2509,0.2355,0.5866,0.6429,0.5035,0.6509,0.2941,0.3071,0.4552,-0.1449,-0.2992,0.4795,-0.2344,0.3385,0.3484,0.8584,0.8483,0.8157,0.9057,0.3937,0.3867,0.2787,-0.2838,-0.3224,-0.0434,-0.058,0.327,0.3656,0.5338,0.5501,0.5151,0.5882,0.2538,0.2261
P3_Decoupling_Stress,0.24,0.674,-0.2082,-0.2134,0.2415,0.7589,0.4474,0.385,0.3369,1.0,-0.4158,-0.7469,0.3966,0.7725,0.0776,-0.6091,0.7335,-0.479,0.6543,-0.5201,0.9024,-0.5566,0.7755,-0.5796,-0.2037,-0.4797,-0.6837,-0.7682,0.0051,0.5228,0.5197,0.5197,0.5701,0.6172,0.8683,0.8821,0.0027,-0.0225,-0.1106,-0.0064,0.0333,-0.2666,0.1135,0.0802,0.1841,0.4162,-0.5521,-0.6061,0.0974,-0.2037,-0.5942,0.1931,0.0051,0.5701,0.6337,-0.1288,-0.0531,-0.1294,-0.0517,-0.1652,-0.2429,-0.6221,-0.543,-0.8424,-0.4937,0.5229,0.5028,0.4679,-0.1149,-0.0317,-0.1766,-0.0343,-0.2872,-0.3319,0.571,-0.6356,-0.9541,0.5712,-0.0315,0.9643,0.9712,-0.104,-0.0111,-0.1122,-0.0369,-0.1443,-0.1019,0.5161,-0.5684,-0.7635,-0.2065,0.036,0.7341,0.7438,0.0002,-0.0094,-0.1,0.0194,-0.326,-0.369
P3_Thermal_Efficiency,-0.144,-0.1465,0.1373,-0.1486,0.3673,-0.3059,0.0905,-0.2447,0.4743,-0.4158,1.0,0.2895,0.2551,-0.2877,0.4266,0.2338,-0.2054,0.0396,-0.3054,0.4622,-0.3939,0.5873,-0.3239,0.3937,-0.1544,0.0478,0.1461,0.194,0.0253,-0.2727,-0.2707,-0.2707,-0.0681,-0.1123,-0.2828,-0.2982,0.4495,0.3731,0.2125,0.3911,0.4405,0.2158,-0.3763,-0.3019,-0.1804,-0.2469,0.26,0.1752,-0.0045,-0.1544,0.0813,-0.1506,0.0253,-0.0681,-0.1973,-0.1274,0.0466,-0.11,-0.122,0.0558,0.0944,0.3322,0.2093,0.3056,0.2668,-0.2728,-0.2349,-0.2311,0.5001,0.5337,0.4251,0.4849,0.2332,0.2807,-0.3144,0.2103,0.408,-0.3375,0.0017,-0.4084,-0.3992,0.6998,0.7488,0.6352,0.6602,0.1417,0.1051,-0.3449,0.1937,0.2824,0.0489,0.0125,-0.2918,-0.2712,0.4636,0.5067,0.4462,0.5116,0.2222,0.2482
P3_Hydrothermal_Balance,-0.2152,-0.6479,0.174,0.1307,-0.2077,-0.4504,-0.2893,-0.1918,-0.2641,-0.7469,0.2895,1.0,-0.3693,-0.6362,-0.0151,0.5259,-0.5914,0.4308,-0.3516,0.4002,-0.6886,0.5115,-0.5833,0.5289,0.1062,0.2531,0.6135,0.6883,0.0265,-0.1965,-0.1946,-0.1946,-0.5264,-0.5049,-0.7056,-0.727,-0.0747,-0.0121,-0.1542,0.1226,0.0434,0.5736,-0.1259,-0.0935,-0.1848,-0.2421,0.3448,0.5713,-0.1461,0.1062,0.5312,-0.163,0.0265,-0.5264,-0.6377,0.0861,0.0643,0.0959,0.0296,0.1976,0.2398,0.3166,0.2681,0.5043,0.261,-0.1966,-0.1856,-0.2594,-0.0117,-0.0524,0.0757,-0.0458,0.0108,0.0551,-0.4071,0.9527,0.802,-0.3941,0.0537,-0.7855,-0.6582,0.0979,0.023,0.0888,0.0513,0.0396,-0.0254,-0.4011,0.498,0.6355,0.0658,-0.0045,-0.5916,-0.5997,-0.0283,-0.0248,0.0437,-0.0529,0.2346,0.2619
P4_WUE,0.0378,0.4186,-0.2212,-0.209,0.4524,0.2591,0.3187,0.0464,0.6328,0.3966,0.2551,-0.3693,1.0,0.5941,0.644,-0.5426,0.3882,-0.4427,0.1658,-0.1058,0.3521,-0.0594,0.4752,-0.0534,-0.1827,-0.1642,-0.2666,-0.3779,-0.0664,0.018,0.0152,0.0152,0.3991,0.3561,0.418,0.5367,0.4081,0.3526,0.1917,0.2827,0.3386,-0.2049,0.1507,0.0393,-0.3648,0.0155,-0.1702,-0.4261,0.2035,-0.1827,-0.3789,0.3474,-0.0664,0.3991,0.3852,-0.2589,-0.0371,-0.223,-0.1715,-0.2124,-0.2039,-0.0939,-0.1052,-0.3106,-0.0873,0.0182,0.0707,0.1619,0.3133,0.375,0.2562,0.3643,0.1351,0.1492,0.2857,-0.2954,-0.3847,0.3594,-0.1053,0.3998,0.3898,0.4669,0.5399,0.4433,0.5062,0.2667,0.2991,0.3424,-0.5245,-0.5927,0.0362,-0.0208,0.5489,0.567,0.7718,0.7762,0.5294,0.8433,0.1935,0.1648
P4_Decoupling_Stress,0.1756,0.5804,-0.2042,-0.1732,0.2427,0.5685,0.3037,0.3029,0.3552,0.7725,-0.2877,-0.6362,0.5941,1.0,0.1226,-0.8393,0.6198,-0.4572,0.4486,-0.4242,0.7331,-0.4589,0.891,-0.4986,-0.1523,-0.2463,-0.4538,-0.6214,-0.0082,0.2284,0.2254,0.2253,0.4903,0.472,0.6805,0.9116,0.0913,0.0579,0.0037,0.0316,0.0646,-0.3612,0.0572,-0.027,-0.3473,0.3202,-0.4547,-0.5631,0.1481,-0.1523,-0.4924,0.3082,-0.0082,0.4903,0.5676,-0.1451,-0.0014,-0.1096,-0.0707,-0.1412,-0.1589,-0.3767,-0.2647,-0.6193,-0.2872,0.2285,0.2274,0.3913,-0.0164,0.0546,-0.057,0.0492,-0.1198,-0.149,0.4169,-0.545,-0.7696,0.477,0.0006,0.7726,0.7349,0.0111,0.078,0.0138,0.0652,-0.0163,0.0287,0.5642,-0.8068,-0.9646,-0.0982,0.0349,0.9546,0.9735,0.1043,0.1133,-0.035,0.146,-0.1649,-0.2103
P4_Thermal_Efficiency,0.0824,0.167,0.0227,-0.2326,0.3887,0.0862,0.2962,0.0004,0.4811,0.0776,0.4266,-0.0151,0.644,0.1226,1.0,-0.1173,0.1854,-0.1477,0.0942,0.1496,0.101,0.1921,0.1007,0.2413,-0.2379,-0.1833,-0.1527,-0.1694,-0.0205,0.0987,0.0992,0.0992,0.2291,0.2205,0.1673,0.1354,0.3238,0.2592,0.175,0.2414,0.3377,0.0615,0.1522,0.0538,-0.1184,0.0113,-0.0926,-0.1185,0.0896,-0.2379,-0.2263,0.1734,-0.0205,0.2291,0.053,-0.0968,0.1262,-0.1372,-0.0403,0.1073,0.1016,-0.0651,-0.0689,-0.109,-0.0123,0.0986,0.0697,0.0415,0.3413,0.4434,0.2087,0.3701,0.1065,0.1189,0.0504,0.0132,-0.0541,0.0953,-0.0014,0.0837,0.0915,0.4628,0.5543,0.4056,0.4775,0.1543,0.1761,-0.1641,-0.1575,-0.1136,-0.4288,-0.0255,0.0868,0.1225,0.7441,0.7853,0.5138,0.7445,0.1816,0.1649
P4_Hydrothermal_Balance,-0.0767,-0.5206,0.2401,0.1074,-0.1708,-0.3146,-0.2058,-0.2539,-0.3127,-0.6091,0.2338,0.5259,-0.5426,-0.8393,-0.1173,1.0,-0.5046,0.3701,-0.2508,0.2658,-0.5743,0.2876,-0.7094,0.328,0.0712,0.0616,0.2736,0.509,0.0645,-0.1055,-0.1031,-0.1031,-0.4784,-0.4223,-0.5827,-0.764,-0.1394,-0.1398,-0.1501,-0.0478,-0.0568,0.4575,-0.0114,0.0462,0.4478,-0.2129,0.2979,0.3969,-0.2367,0.0712,0.3939,-0.3072,0.0645,-0.4784,-0.5561,0.1813,0.0775,0.2066,0.1222,0.0819,0.133,0.2387,0.0689,0.3833,0.1815,-0.1056,-0.0668,-0.2024,-0.0286,-0.0858,0.0144,-0.0684,0.0289,0.0474,-0.4517,0.4256,0.5933,-0.4965,0.0375,-0.6495,-0.5948,-0.0644,-0.1047,-0.0438,-0.1005,-0.0682,-0.1248,-0.5449,0.9862,0.8652,0.0417,0.0421,-0.7937,-0.7692,-0.1159,-0.1285,0.0138,-0.137,0.0592,0.0986
P1_Drought_Vulnerability,0.3167,0.8235,-0.1648,-0.5565,0.2918,0.6427,0.2825,0.1688,0.3547,0.7335,-0.2054,-0.5914,0.3882,0.6198,0.1854,-0.5046,1.0,-0.5264,0.7229,-0.4777,0.8316,-0.5126,0.7187,-0.5907,-0.5328,-0.5879,-0.7155,-0.7807,0.0047,0.3838,0.3809,0.3809,0.8185,0.8276,0.8702,0.7839,0.0989,0.0579,0.3044,0.0481,0.127,-0.0505,0.0054,-0.034,0.064,0.4351,-0.6863,-0.6231,0.2785,-0.5328,-0.8066,0.2227,0.0047,0.8185,0.6758,-0.1933,-0.0206,-0.2207,-0.0752,-0.1967,-0.2936,-0.3857,-0.4332,-0.7258,-0.241,0.384,0.4282,0.3982,-0.0359,0.0768,-0.1411,0.0586,-0.1356,-0.1429,0.49,-0.4948,-0.7099,0.455,0.0071,0.7468,0.7073,0.0071,0.1276,-0.0148,0.0809,-0.0388,0.01,0.2316,-0.5052,-0.6237,-0.2852,0.0642,0.5473,0.5876,0.0315,0.0626,-0.0829,0.1061,-0.2358,-0.2719
P1_Fertility_Vigor,0.3321,-0.5043,0.643,0.2809,-0.258,-0.3841,-0.2776,-0.0521,-0.4057,-0.479,0.0396,0.4308,-0.4427,-0.4572,-0.1477,0.3701,-0.5264,1.0,-0.3508,0.5427,-0.4686,0.4956,-0.4451,0.6201,0.254,0.3817,0.4574,0.4999,0.0935,-0.2269,-0.2234,-0.2234,-0.4821,-0.4857,-0.5462,-0.5297,-0.4684,-0.4052,-0.1754,-0.2102,-0.2373,0.0748,0.0256,0.0191,0.0481,-0.0925,0.3024,0.7735,-0.1547,0.254,0.4566,-0.311,0.0935,-0.4821,-0.4538,0.7307,0.5313,0.5844,0.6331,0.4258,0.4532,0.2515,0.3436,0.4484,0.2321,-0.2272,-0.2613,-0.225,-0.0509,-0.1047,-0.0466,-0.1208,-0.0414,-0.065,-0.3906,0.3438,0.4488,-0.4484,0.1216,-0.494,-0.4746,-0.1995,-0.253,-0.2051,-0.2502,-0.2246,-0.2599,-0.3505,0.3309,0.4334,-0.0321,0.0499,-0.4303,-0.4576,-0.2413,-0.2397,-0.2065,-0.2931,-0.1114,-0.0805
